Formula,FW,DSSTox_CID,SR-HSE,ID,SMILES,Molecule,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
C27H25ClN6,468.9806,25848,0.0,NCGC00178831-03,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x0000011999F17840>,0.0,,1.0,,1.0,1.0,,,1.0,,
C20H6Br4Na2O5,691.8542,5234,0.0,NCGC00166114-03,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199A454040>,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,
C47H83NO17,934.1584,28909,0.0,NCGC00263563-01,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+],<rdkit.Chem.rdchem.Mol object at 0x000001199A454120>,0.0,,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0
C52H54N4O12,927.0048,5513,1.0,NCGC00013058-02,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199A454200>,0.0,,,0.0,1.0,1.0,,,,0.0,
C66H87N17O14,1342.5025,26683,,NCGC00167516-01,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,<rdkit.Chem.rdchem.Mol object at 0x000001199A454350>,0.0,,,,,,,,,,
C20H35NOS,337.563,25638,1.0,NCGC00018301-05,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199A454430>,0.0,,,,0.0,,,0.0,,,
C7H5HgNO3,351.7095,31427,1.0,NCGC00249897-01,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,<rdkit.Chem.rdchem.Mol object at 0x000001199A454510>,,,,,,,,,,,
C10H20N2S4,296.5392,1322,1.0,NCGC00016000-18,CCN(CC)C(=S)SSC(=S)N(CC)CC,<rdkit.Chem.rdchem.Mol object at 0x000001199A4545F0>,0.0,,,0.0,1.0,1.0,,1.0,0.0,1.0,1.0
C25H39ClN2O,419.043,26837,,NCGC00181091-01,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199A4546D0>,0.0,,,,,,,,,,
C29H40Cl2FN3O3,568.5506,24204,0.0,NCGC00094089-01,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199A4547B0>,0.0,,,,,,,,,,
C26H58Cl2N10,581.7117,25881,,NCGC00094996-01,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199A454890>,0.0,,,,,,,,,,
C22H26ClF2NO4,441.8959,28991,0.0,NCGC00263579-01,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1,<rdkit.Chem.rdchem.Mol object at 0x000001199A4549E0>,0.0,,,0.0,0.0,,0.0,,0.0,,0.0
C21H26Cl2O,365.3365,25889,,NCGC00095016-05,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199A454AC0>,0.0,0.0,0.0,,0.0,1.0,,,,0.0,
C16H23N5O,301.3867,25955,,NCGC00095192-05,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,<rdkit.Chem.rdchem.Mol object at 0x000001199A454BA0>,,0.0,,,,,,,,,
C8H5Cl3O,223.4837,6190,1.0,NCGC00091258-05,O=C(CCl)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199A454C80>,0.0,1.0,,0.0,0.0,1.0,0.0,,1.0,1.0,0.0
C29H44O12,584.6525,23765,0.0,NCGC00263656-01,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001199A454D60>,0.0,,1.0,0.0,0.0,1.0,,,0.0,,1.0
C17H38BrN,336.3943,24367,,NCGC00166121-03,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001199A454E40>,0.0,1.0,,0.0,0.0,1.0,,,,0.0,
C22H40BrNO,414.4631,13468,,NCGC00257773-01,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001199A454F20>,0.0,,,0.0,0.0,1.0,,,,,
C21H38BrN,384.4371,13307,,NCGC00091023-06,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],<rdkit.Chem.rdchem.Mol object at 0x000001199A455000>,0.0,1.0,1.0,0.0,0.0,,,,,,0.0
C25H30ClN3,407.9788,653,1.0,NCGC00091112-09,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],<rdkit.Chem.rdchem.Mol object at 0x000001199A4550E0>,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,0.0,1.0
C33H34N4O6,582.6463,120,,NCGC00167436-02,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,<rdkit.Chem.rdchem.Mol object at 0x000001199A455230>,0.0,1.0,,,0.0,,,,,,
C18H14Cl4N4O4,492.1402,25943,1.0,NCGC00177980-03,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,<rdkit.Chem.rdchem.Mol object at 0x000001199A455310>,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0
C22H27NO2,337.4553,2880,1.0,NCGC00179665-04,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x000001199A455460>,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C23H25F7N4O3,538.4584,28973,,NCGC00344566-01,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199A455540>,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0
C20H14NO4,332.3289,25204,1.0,NCGC00015959-09,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,<rdkit.Chem.rdchem.Mol object at 0x000001199A455620>,0.0,,,1.0,1.0,,,,,,
C14H24N2O3,268.352,25583,1.0,NCGC00017112-10,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,<rdkit.Chem.rdchem.Mol object at 0x000001199A455700>,,,,,,,,,,,
C26H29N3O6,479.525,3363,1.0,NCGC00015747-09,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x000001199A4557E0>,0.0,,,0.0,,1.0,,,,,0.0
