,smiles,Formula,FW,DSSTox_CID,SR-HSE,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
0,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],C27H25ClN6,468.9806 (35.4535+224.2805+209.2465),25848,0,,,,,,,,,,,
1,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+],C20H6Br4Na2O5,691.8542 (645.8757+22.9892+22.9892),5234,0,,,,,,,,,,,
2,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+],C47H83NO17,934.1584 (916.1205+18.0379),28909,0,,,,,,,,,,,
3,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O,C52H54N4O12,927.0048 (329.4575+89.0275+89.0275+329.4575+90.0349),5513,1,,,,,,,,,,,
4,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,C66H87N17O14,1342.5025 (1282.4505+60.0520),26683,,0,,,,,,,,,,
5,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,C20H35NOS,337.5630,25638,1,,,,,,,,,,,
6,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2,C7H5HgNO3,351.7095,31427,1,,,,,,,,,,,
7,CCN(CC)C(=S)SSC(=S)N(CC)CC,C10H20N2S4,296.5392,1322,1,,,,,,,,,,,
8,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl,C25H39ClN2O,419.0430 (382.5820+36.4609),26837,,0,,,,,,,,,,
9,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl,C29H40Cl2FN3O3,568.5506 (495.6287+36.4609+36.4609),24204,,0,,,,,,,,,,
